"timestamp","heartrate"
1477519200000,69
1477519210000,69
1477519220000,72
1477519235000,72
1477519240000,72
1477519255000,72
1477519260000,71
1477519275000,71
1477519290000,71
1477519300000,72
1477519310000,75
1477519325000,75
1477519340000,75
1477519350000,74
1477519365000,73
1477519380000,72
1477519390000,70
1477519400000,75
1477519415000,75
1477519425000,76
1477519440000,76
1477519445000,76
1477519450000,77
1477519465000,77
1477519480000,78
1477519495000,78
1477519510000,78
1477519520000,79
1477519525000,81
1477519530000,83
1477519540000,84
1477519550000,90
1477519560000,91
1477519570000,89
1477519575000,90
1477519580000,88
1477519585000,89
1477519600000,88
1477519610000,84
1477519620000,74
1477519630000,83
1477519640000,84
1477519650000,85
1477519665000,86
1477519675000,87
1477519685000,88
1477519690000,88
1477519695000,89
1477519700000,91
1477519705000,92
1477519710000,91
1477519715000,92
1477519720000,92
1477519735000,92
1477519750000,92
1477519765000,91
1477519775000,92
1477519790000,92
1477519795000,93
1477519800000,94
1477519810000,93
1477519815000,94
1477519830000,94
1477519845000,92
1477519850000,90
1477519855000,88
1477519865000,87
1477519880000,88
1477519895000,88
1477519910000,88
1477519915000,89
1477519930000,89
1477519935000,88
1477519940000,85
1477519945000,83
1477519955000,79
1477519960000,78
1477519970000,76
1477519985000,76
1477519990000,76
1477519995000,75
1477520000000,76
1477520015000,76
1477520030000,76
1477520035000,75
1477520050000,75
1477520065000,75
1477520080000,75
1477520095000,75
1477520100000,75
1477520105000,74
1477520120000,74
1477520125000,72
1477520140000,72
1477520155000,72
1477520170000,72
1477520180000,72
1477520185000,72
1477520200000,72
1477520215000,76
1477520225000,77
1477520240000,77
1477520250000,75
1477520265000,75
1477520270000,76
1477520285000,76
1477520290000,75
1477520295000,74
1477520310000,74
1477520315000,72
1477520320000,70
1477520335000,70
1477520340000,69
1477520345000,70
1477520350000,69
1477520355000,69
1477520360000,70
1477520365000,71
1477520380000,71
1477520395000,71
1477520400000,70
1477520405000,69
1477520410000,71
1477520425000,71
1477520430000,69
1477520440000,71
1477520455000,71
1477520470000,68
1477520480000,76
1477520495000,76
1477520510000,76
1477520515000,76
1477520520000,77
1477520535000,77
1477520550000,77
1477520555000,77
1477520570000,77
1477520575000,78
1477520580000,81
1477520590000,80
1477520605000,81
1477520610000,83
1477520620000,85
1477520625000,87
1477520635000,90
1477520640000,94
1477520645000,96
1477520650000,97
1477520665000,98
1477520680000,98
1477520685000,100
1477520700000,99
1477520705000,97
1477520710000,96
1477520720000,93
1477520735000,93
1477520750000,93
1477520765000,92
1477520770000,91
1477520775000,92
1477520785000,91
1477520790000,92
1477520800000,91
1477520810000,92
1477520815000,91
1477520830000,91
1477520840000,91
1477520845000,91
1477520855000,91
1477520860000,91
1477520865000,91
1477520880000,91
1477520885000,91
1477520895000,92
1477520900000,82
1477520905000,83
1477520910000,82
1477520920000,80
1477520935000,81
1477520940000,80
1477520945000,81
1477520950000,80
1477520955000,80
1477520960000,81
1477520975000,84
1477520980000,86
1477520995000,86
1477521005000,85
1477521010000,81
1477521025000,81
