"timestamp","heartrate"
1477432800000,68
1477432805000,67
1477432815000,65
1477432820000,65
1477432830000,66
1477432840000,65
1477432850000,66
1477432865000,66
1477432870000,67
1477432885000,67
1477432895000,67
1477432900000,67
1477432910000,68
1477432915000,68
1477432930000,69
1477432940000,68
1477432955000,68
1477432960000,67
1477432970000,65
1477432980000,65
1477432990000,65
1477433000000,65
1477433010000,68
1477433020000,67
1477433035000,67
1477433050000,66
1477433060000,67
1477433070000,66
1477433080000,68
1477433095000,68
1477433100000,67
1477433110000,67
1477433120000,73
1477433135000,73
1477433140000,69
1477433150000,68
1477433165000,68
1477433170000,67
1477433180000,68
1477433190000,70
1477433200000,71
1477433210000,70
1477433220000,69
1477433235000,69
1477433240000,69
1477433250000,69
1477433260000,71
1477433270000,71
1477433280000,71
1477433290000,70
1477433300000,68
1477433310000,69
1477433320000,69
1477433335000,69
1477433340000,70
1477433355000,71
1477433360000,73
1477433370000,72
1477433375000,69
1477433390000,69
1477433395000,68
1477433400000,65
1477433405000,63
1477433415000,64
1477433425000,65
1477433430000,66
1477433435000,67
1477433440000,68
1477433445000,68
1477433450000,69
1477433455000,70
1477433470000,70
1477433485000,72
1477433490000,80
1477433500000,81
1477433505000,80
1477433515000,79
1477433520000,78
1477433530000,69
1477433535000,69
1477433545000,69
1477433550000,68
1477433555000,69
1477433570000,69
1477433575000,68
1477433580000,67
1477433585000,69
1477433590000,70
1477433600000,71
1477433610000,70
1477433620000,69
1477433630000,68
1477433640000,69
1477433650000,67
1477433660000,69
1477433670000,68
1477433680000,69
1477433690000,68
1477433700000,68
1477433705000,68
1477433710000,69
1477433720000,68
1477433730000,68
1477433740000,66
1477433755000,67
1477433760000,66
1477433770000,66
1477433780000,65
1477433790000,68
1477433805000,68
1477433810000,69
1477433825000,69
1477433830000,70
1477433840000,72
1477433855000,72
1477433860000,74
1477433865000,75
1477433880000,75
1477433890000,76
1477433900000,76
1477433915000,76
1477433930000,76
1477433940000,75
1477433950000,71
1477433960000,70
1477433970000,71
1477433975000,71
1477433985000,72
1477433990000,71
1477434000000,72
1477434010000,68
1477434020000,70
1477434030000,70
1477434040000,72
1477434050000,72
1477434065000,72
1477434080000,71
1477434090000,72
1477434100000,72
1477434110000,72
1477434115000,71
1477434130000,71
1477434140000,72
1477434155000,72
1477434170000,73
1477434180000,70
1477434190000,71
1477434205000,71
1477434210000,72
1477434220000,71
1477434230000,70
1477434245000,70
1477434260000,71
1477434270000,72
1477434285000,72
1477434290000,72
1477434295000,71
1477434300000,70
1477434310000,72
1477434320000,73
1477434330000,73
1477434340000,72
1477434355000,72
1477434360000,73
1477434370000,72
1477434385000,72
1477434400000,73
1477434410000,73
1477434420000,72
1477434430000,71
1477434440000,72
1477434450000,71
1477434465000,71
1477434480000,71
1477434490000,73
1477434505000,73
1477434520000,73
1477434530000,74
1477434545000,74
1477434560000,74
1477434570000,72
1477434580000,71
1477434590000,72
1477434605000,72
1477434610000,73
1477434625000,73
1477434640000,70
1477434650000,71
1477434665000,71
1477434670000,73
1477434680000,71
1477434690000,72
1477434700000,70
1477434715000,70
1477434720000,72
1477434735000,71
1477434740000,72
1477434750000,71
1477434765000,70
1477434770000,70
1477434780000,71
1477434790000,72
1477434800000,73
1477434805000,74
1477434810000,73
1477434815000,74
1477434830000,77
1477434840000,78
1477434850000,77
1477434860000,76
1477434870000,77
1477434880000,76
1477434885000,76
1477434900000,72
1477434910000,70
1477434925000,70
1477434940000,70
1477434945000,70
1477434960000,71
1477434975000,73
1477434990000,81
1477435000000,75
1477435010000,71
1477435020000,71
1477435035000,71
1477435040000,69
1477435050000,70
1477435055000,70
1477435070000,69
1477435085000,69
1477435090000,69
1477435100000,68
1477435110000,70
1477435115000,70
1477435130000,71
1477435145000,71
1477435160000,72
1477435175000,72
1477435190000,72
1477435200000,68
1477435215000,68
1477435220000,69
1477435230000,71
1477435245000,71
1477435250000,70
1477435265000,70
1477435270000,69
1477435280000,71
1477435290000,72
1477435300000,72
1477435310000,72
1477435320000,70
1477435330000,67
1477435340000,69
1477435355000,69
1477435360000,72
1477435370000,71
1477435380000,71
1477435395000,71
1477435400000,74
1477435410000,75
1477435425000,75
1477435430000,74
1477435445000,74
1477435460000,75
1477435475000,75
1477435480000,77
1477435485000,77
1477435490000,81
1477435500000,80
1477435510000,79
1477435515000,78
1477435530000,78
1477435540000,78
1477435550000,77
1477435560000,76
1477435570000,77
1477435580000,77
1477435590000,77
1477435595000,77
1477435610000,77
1477435625000,77
1477435630000,76
1477435640000,79
1477435655000,79
1477435660000,80
1477435670000,79
1477435675000,79
1477435680000,80
1477435690000,81
1477435695000,80
1477435700000,79
1477435710000,78
1477435720000,80
1477435725000,81
1477435740000,79
1477435745000,76
1477435760000,77
1477435775000,77
1477435780000,78
1477435790000,79
1477435800000,80
1477435810000,79
1477435825000,80
1477435835000,79
1477435850000,79
1477435860000,78
1477435870000,79
1477435880000,76
1477435890000,75
1477435905000,75
1477435910000,76
1477435915000,77
1477435930000,77
1477435935000,76
1477435940000,77
1477435950000,82
1477435960000,77
1477435975000,77
1477435980000,78
1477435990000,80
1477436000000,82
1477436010000,77
1477436020000,75
1477436030000,74
1477436040000,75
1477436050000,76
1477436060000,77
1477436070000,79
1477436080000,78
1477436090000,79
